n_k,b_index,u_index,b1,u1,status,response_status,cG,path_indirect_gap_min_mev,negative_path_indirect_gap,hf_all_converged,hf_nonconverged,reference_chern_valid,invalid_reference_chern,chern_vp_plus,chern_vp_minus,chern_ivc,vp_plus_gap_mev,vp_minus_gap_mev,ivc_gap_mev,any_reference_direct_gap_nonpositive,invalid_chern_with_nonpositive_reference_direct_gap
18,0,0,-0.1,-0.1,ok,ok,-0.05688371627701413,1.0827520897673997,False,True,False,True,False,0.9999999999999996,-0.9999999999999991,-1.0267891092956978e-16,22.774437657312784,22.774437657312784,1.0836110407625072,False,False
18,0,1,-0.1,-0.09,ok,ok,-0.05696214002922534,0.9999227081079392,False,True,False,True,False,0.9999999999999999,-1.000000000000001,8.917920973316176e-18,23.10257027866533,23.102570278665326,1.0002603798138399,False,False
18,0,2,-0.1,-0.08,ok,ok,-0.0582011097300586,1.4611143113420952,False,True,False,True,False,0.9999999999999994,-0.9999999999999996,3.892866406999642e-17,23.417392725641665,23.41739272564167,1.9311486878668809,False,False
18,0,3,-0.1,-0.07,ok,ok,-0.05709078148913982,0.8622844079362102,False,True,False,True,False,0.9999999999999997,-1.0000000000000002,-9.353262543542715e-18,23.71963672801803,23.71963672801803,0.8625620421124683,False,False
18,0,4,-0.1,-0.06,ok,ok,-0.05714124247540472,0.8047168702988754,False,True,False,True,False,0.9999999999999994,-0.9999999999999994,4.2177452917788185e-17,24.009954572756968,24.009954572756964,0.8049683949422933,False,False
18,0,5,-0.1,-0.05,ok,ok,-0.05718281216552083,0.753044631186798,False,True,False,True,False,0.9999999999999997,-1.0000000000000002,-7.029269721913979e-17,24.28893329311751,24.28893329311751,0.7532720397746822,False,False
18,0,6,-0.1,-0.04,ok,ok,-0.05721583270313853,0.7063636654091671,False,True,False,True,False,0.9999999999999997,-0.9999999999999991,-1.0160553401103349e-16,24.557105899400533,24.557105899400533,0.706568603307528,False,False
18,0,7,-0.1,-0.03,ok,ok,-0.057240681803579836,0.6639443299590956,False,True,False,True,False,0.9999999999999984,-0.9999999999999988,1.09252248954395e-16,24.814960319434824,24.814960319434824,0.6641281588100624,False,False
18,0,8,-0.1,-0.02,ok,ok,-0.057257757737482436,0.6251926117919735,False,True,False,True,False,0.9999999999999997,-0.9999999999999997,-6.452951227109261e-17,25.06294655346514,25.062946553465142,0.625356459334574,False,False
18,0,9,-0.1,-0.01,ok,ok,-0.05726746912237195,0.5896209079811843,False,True,False,True,False,0.9999999999999996,-0.9999999999999997,8.184266912173572e-17,25.301482427613205,25.30148242761321,0.589765706868669,False,False
18,0,10,-0.1,0.0,ok,ok,-0.057270227915540706,0.5568257990366479,False,True,False,True,False,0.9999999999999997,-0.9999999999999996,3.6341742405151213e-17,25.530958240679894,25.530958240679894,0.5569523172593096,False,False
18,0,11,-0.1,0.01,ok,ok,-0.057266444561801064,0.5264709972350071,False,True,False,True,False,1.0000000000000002,-1.0000000000000002,2.913530062292598e-17,25.751740532193686,25.751740532193686,0.5265798620737907,False,False
18,0,12,-0.1,0.02,ok,ok,-0.057256524607704626,0.4982741575040969,False,True,False,True,False,1.0000000000000002,-1.0000000000000002,-8.897594005547442e-18,25.964175149193686,25.964175149193693,0.49836587444719727,False,False
18,0,13,-0.1,0.03,ok,ok,-0.057240866324166334,0.4719965953961557,False,True,False,True,False,0.999999999999999,-0.999999999999999,-2.0609006559496135e-17,25.983909529251985,25.983909529252006,0.4720715630904162,False,False
18,0,14,-0.1,0.04,ok,ok,-0.0572198590282294,0.44743521119056495,False,True,False,True,False,0.9999999999999996,-0.9999999999999994,5.803883767436574e-18,25.87969730147138,25.879697301471378,0.44749373323550706,False,False
18,0,15,-0.1,0.05,ok,ok,-0.0571938818909022,0.42441610086959874,False,True,False,True,False,1.0000000000000004,-1.0000000000000002,-4.263292563057454e-17,25.779375556555955,25.779375556555944,0.4244583950667674,False,False
18,0,16,-0.1,0.06,ok,ok,-0.05716330308284735,0.40278946703750024,False,True,False,True,False,1.0000000000000004,-1.0000000000000004,4.11124202483942e-17,25.682845239759203,25.682845239759192,0.40281567255292905,False,False
18,0,17,-0.1,0.07,ok,ok,-0.057128479149864894,0.3824255388041764,False,True,False,True,False,0.9999999999999996,-0.9999999999999997,3.7653868881396764e-17,25.590004782436313,25.590004782436317,0.38243572159513545,False,False
18,0,18,-0.1,0.08,ok,ok,-0.05708975454528886,0.36321127986064033,False,True,False,True,False,0.9999999999999994,-0.9999999999999991,1.2831395380150708e-17,25.500750515340762,25.500750515340762,0.3632054366609366,False,False
18,0,19,-0.1,0.09,ok,ok,-0.05704746125949803,0.3450477169609435,False,True,False,True,False,1.0000000000000007,-1.0,1.0979413851167106e-17,25.414977084817632,25.414977084817636,0.34502577794908346,False,False
18,0,20,-0.1,0.1,ok,ok,-0.05700191851913458,0.3278477592439868,False,True,False,True,False,1.0,-1.0000000000000002,-4.1529279565643886e-17,25.33257786721125,25.332577867211263,0.3278095896458206,False,False
18,1,0,-0.09,-0.1,ok,ok,-0.05689115497503623,1.065644601119293,False,True,False,True,False,0.9999999999999996,-0.9999999999999994,-1.5973277773314255e-17,22.86003081071607,22.86003081071606,1.0663817031528746,False,False
18,1,1,-0.09,-0.09,ok,ok,-0.06355124603185774,1.7898999837057055,False,True,False,True,False,0.9999999999999999,-0.9999999999999994,-7.27151553151438e-17,23.184420281893843,23.18442028189384,1.868875410311826,False,False
18,1,2,-0.09,-0.08,ok,ok,-0.05279621543218224,0.3401322057654389,False,True,False,True,False,1.0000000000000002,-1.0000000000000002,-3.2585500545115586e-16,23.495686779301042,23.495686779301042,2.0774827641928773,False,False
18,1,3,-0.09,-0.07,ok,ok,-0.057091622050300495,0.8510819808068786,False,True,False,True,False,1.0,-0.999999999999999,-6.076929240523322e-17,23.794542197173502,23.794542197173506,0.851354514961231,False,False
18,1,4,-0.09,-0.06,ok,ok,-0.05714006731129635,0.7948617938306017,False,True,False,True,False,0.9999999999999993,-0.9999999999999989,6.716023749797948e-17,24.081622892771744,24.081622892771744,0.7951086931061864,False,False
18,1,5,-0.09,-0.05,ok,ok,-0.05717974304794647,0.7443196620928313,False,True,False,True,False,0.9999999999999994,-0.9999999999999996,1.3123994317206228e-18,24.35750300650286,24.357503006502856,0.7445428383702644,False,False
18,1,6,-0.09,-0.04,ok,ok,-0.05721099892820093,0.698595338185424,False,True,False,True,False,1.0000000000000004,-1.0,1.4152049117825207e-17,24.622705025349546,24.62270502534955,0.6987963716131056,False,False
18,1,7,-0.09,-0.03,ok,ok,-0.05504162578461744,1.7662617594620502,False,True,False,True,False,0.9999999999999991,-0.9999999999999997,-6.706671051424374e-08,24.877708207745354,24.877708207745354,2.30376930396151,False,False
