b1,u1,cG_nk18,cG_nk19,cG_nk20,cG_nk21,cG_nk22,cG_nk_last_minus_first,cG_span_across_computed_n_k
-0.1,-0.1,-0.07267433402742618,-0.072669702786578,-0.07266704500528332,-0.07266575410415899,-0.07266540150403525,8.93252339093098e-06,8.93252339093098e-06
-0.1,-0.08,-0.07260420323832495,-0.07260693568904794,-0.0726106149882475,-0.07261479646462209,-0.07261918702628239,-1.498378795744548e-05,1.498378795744548e-05
-0.1,-0.06,-0.07255498489186096,-0.07256300855689604,-0.0725711947384293,-0.07257923434367788,-0.07258694436733953,-3.195947547857125e-05,3.195947547857125e-05
-0.1,-0.04,-0.07251882558375219,-0.07253075922605368,-0.07254225286721536,-0.0725531077192112,-0.07256322861193418,-4.440302818198294e-05,4.440302818198294e-05
-0.1,-0.02,-0.07249104634653541,-0.07250596465916515,-0.07251997189200801,-0.07253295874541621,-0.07254490038638142,-5.385403984600745e-05,5.385403984600745e-05
-0.1,0,-0.07246878271888436,-0.07248605892404225,-0.07250204671966518,-0.07251671020049243,-0.07253008172214542,-6.129900326105886e-05,6.129900326105886e-05
-0.1,0.02,-0.07245023719878121,-0.07246944062707425,-0.07248704508945103,-0.07250307597708634,-0.07251761313837093,-6.737593958971999e-05,6.737593958971999e-05
-0.1,0.04,-0.07243425752485214,-0.07245508727987432,-0.07247405534929222,-0.07249123942245474,-0.07250675972576315,-7.250220091101212e-05,7.250220091101212e-05
-0.1,0.06,-0.07242009210792129,-0.07244233385869367,-0.07246248585842659,-0.07248067140225566,-0.07249704585377299,-7.695374585170445e-05,7.695374585170445e-05
-0.1,0.08,-0.07240724419980316,-0.07243074175393088,-0.07245194700451306,-0.07247102383630113,-0.0724881588483665,-8.091464856334329e-05,8.091464856334329e-05
-0.1,0.1,-0.07239538253604633,-0.07242001892906824,-0.07244217965676306,-0.07246206537848472,-0.07247989097411908,-8.450843807275565e-05,8.450843807275565e-05
-0.08,-0.1,-0.07265923476727267,-0.07265619264234865,-0.07265490914381617,-0.07265480994490411,-0.0726554938903923,3.740876880362065e-06,4.424822368551129e-06
-0.08,-0.08,-0.07259446025196611,-0.07259825873158882,-0.07260284843635566,-0.07260781095961776,-0.07261287470477476,-1.841445280864606e-05,1.841445280864606e-05
-0.08,-0.06,-0.07254841299294723,-0.07255716808848579,-0.07256597348068856,-0.07257454044159861,-0.07258270223210914,-3.42892391619054e-05,3.42892391619054e-05
-0.08,-0.04,-0.07251417605183171,-0.0725266269528292,-0.07253855594474698,-0.07254977981638056,-0.07256021563896579,-4.603958713408907e-05,4.603958713408907e-05
-0.08,-0.02,-0.0724875881799287,-0.07250288547784592,-0.07251721056885785,-0.0725304661284043,-0.07254263663392392,-5.50484539952184e-05,5.50484539952184e-05
-0.08,0,-0.07246607909239416,-0.0724836437495304,-0.072499873080692,-0.07251474053042635,-0.07252828567591235,-6.220658351818731e-05,6.220658351818731e-05
