state,path_index,k_i,k_j,path_distance,band,occupation,energy_relative_vbm_mev
vp,0,0,0,0.0,0,1,0.0
vp,0,0,0,0.0,1,0,14.05990912617328
vp,1,1,0,0.06666666666666667,0,1,-3.2255915232130956
vp,1,1,0,0.06666666666666667,1,0,14.05990912617328
vp,2,2,0,0.13333333333333333,0,1,-5.66020800821614
vp,2,2,0,0.13333333333333333,1,0,14.05990912617328
vp,3,3,0,0.2,0,1,-7.641611101819246
vp,3,3,0,0.2,1,0,14.05990912617328
vp,4,4,0,0.26666666666666666,0,1,-9.308704302943559
vp,4,4,0,0.26666666666666666,1,0,14.05990912617328
vp,5,5,0,0.3333333333333333,0,1,-10.738375999674739
vp,5,5,0,0.3333333333333333,1,0,14.05990912617328
vp,6,6,0,0.4,0,1,-11.981581669437412
vp,6,6,0,0.4,1,0,14.05990912617328
vp,7,7,0,0.4666666666666667,0,1,-13.075368328039596
vp,7,7,0,0.4666666666666667,1,0,14.05990912617328
vp,8,7,1,0.5333333333333333,0,1,-17.944891107987736
vp,8,7,1,0.5333333333333333,1,0,14.05990912617328
vp,9,6,2,0.6,0,1,-20.36144263815398
vp,9,6,2,0.6,1,0,14.05990912617328
vp,10,6,3,0.6666666666666666,0,1,-23.32122761100569
vp,10,6,3,0.6666666666666666,1,0,14.05990912617328
vp,11,5,4,0.7333333333333333,0,1,-24.11297332131275
vp,11,5,4,0.7333333333333333,1,0,14.05990912617328
vp,12,5,5,0.7999999999999999,0,1,-26.173543123438833
vp,12,5,5,0.7999999999999999,1,0,14.05990912617328
vp,13,4,4,0.915470053837925,0,1,-22.1533416725417
vp,13,4,4,0.915470053837925,1,0,14.05990912617328
vp,14,3,3,1.0309401076758502,0,1,-17.70622922223948
vp,14,3,3,1.0309401076758502,1,0,14.05990912617328
vp,15,2,2,1.1464101615137754,0,1,-12.706032251077323
vp,15,2,2,1.1464101615137754,1,0,14.05990912617328
vp,16,1,1,1.2618802153517006,0,1,-6.942774515035863
vp,16,1,1,1.2618802153517006,1,0,14.05990912617328
vp,17,0,0,1.3773502691896258,0,1,0.0
vp,17,0,0,1.3773502691896258,1,0,14.05990912617328
ivc,0,0,0,0.0,0,1,0.0
ivc,0,0,0,0.0,1,0,12.335411211900757
ivc,1,1,0,0.06666666666666667,0,1,-2.0369108455930522
ivc,1,1,0,0.06666666666666667,1,0,10.937818329251328
ivc,2,2,0,0.13333333333333333,0,1,-4.6658912342241265
ivc,2,2,0,0.13333333333333333,1,0,11.100266961090242
ivc,3,3,0,0.2,0,1,-6.76608373796153
ivc,3,3,0,0.2,1,0,11.339699684466867
ivc,4,4,0,0.26666666666666666,0,1,-8.572179141299749
ivc,4,4,0,0.26666666666666666,1,0,11.623048355653719
ivc,5,5,0,0.3333333333333333,0,1,-10.13911182762008
ivc,5,5,0,0.3333333333333333,1,0,11.898518398315026
ivc,6,6,0,0.4,0,1,-11.467107406272305
ivc,6,6,0,0.4,1,0,12.106967525277433
ivc,7,7,0,0.4666666666666667,0,1,-12.543501860941607
ivc,7,7,0,0.4666666666666667,1,0,12.197204830030373
ivc,8,7,1,0.5333333333333333,0,1,-10.152995652239621
ivc,8,7,1,0.5333333333333333,1,0,7.525170475427809
ivc,9,6,2,0.6,0,1,-13.041683787335245
ivc,9,6,2,0.6,1,0,7.516316337201664
ivc,10,6,3,0.6666666666666666,0,1,-15.703131856450451
ivc,10,6,3,0.6666666666666666,1,0,6.945326278531222
ivc,11,5,4,0.7333333333333333,0,1,-16.68883531817222
ivc,11,5,4,0.7333333333333333,1,0,7.034229204930189
ivc,12,5,5,0.7999999999999999,0,1,-18.1644202273769
ivc,12,5,5,0.7999999999999999,1,0,6.336389041287391
ivc,13,4,4,0.915470053837925,0,1,-15.292283014453364
ivc,13,4,4,0.915470053837925,1,0,7.697908778963542
ivc,14,3,3,1.0309401076758502,0,1,-11.749231540050555
ivc,14,3,3,1.0309401076758502,1,0,8.878512015292921
ivc,15,2,2,1.1464101615137754,0,1,-7.450440436376219
ivc,15,2,2,1.1464101615137754,1,0,9.961448265220394
ivc,16,1,1,1.2618802153517006,0,1,-2.0282489298584494
ivc,16,1,1,1.2618802153517006,1,0,10.892272884241276
ivc,17,0,0,1.3773502691896258,0,1,0.0
ivc,17,0,0,1.3773502691896258,1,0,12.335411211900757
