theta_deg,u_D_meV,fit_status,rmse_cG_fit,valid_fit,phase_grey_mask
2.0,0.0,fit_ok,0.0001201050851423,True,False
2.0,0.5,fit_ok,0.000195230029849,True,False
2.0,1.0,fit_ok,2.2104265379371985e-05,True,False
2.0,1.5,fit_ok,3.129765450589319e-05,True,False
2.0,2.0,fit_ok,1.659094929923355e-05,True,False
2.0,2.5,fit_ok,3.7765546965673583e-06,True,False
2.0,3.0,fit_ok,3.416967887383308e-06,True,False
2.0,3.5,fit_ok,7.254439175893436e-07,True,False
2.0,4.0,fit_ok,5.686703639701744e-07,True,False
2.0,4.5,fit_ok,2.4009960052706204e-06,True,False
2.0,5.0,fit_ok,3.6173130286101567e-06,True,False
2.0,5.5,fit_ok,2.3511277371349975e-06,True,False
2.0,6.0,fit_ok,8.131931082150017e-07,True,False
2.0,6.5,fit_ok,1.0472635889861045e-06,True,False
2.0,7.0,fit_ok,1.4108029056323264e-06,True,False
2.0,7.5,fit_ok,1.2173772713647383e-06,True,False
2.0,8.0,fit_ok,8.937592372732402e-07,True,False
2.0,8.5,fit_ok,8.45819698339173e-07,True,False
2.0,9.0,fit_ok,8.565900465324404e-07,True,False
2.0,9.5,fit_ok,7.704348043705854e-07,True,False
2.0,10.0,fit_ok,6.968544477496646e-07,True,False
2.0,10.5,fit_ok,6.681896677541228e-07,True,False
2.0,11.0,fit_ok,5.190426097277826e-07,True,False
2.0,11.5,fit_ok,7.3810118731094e-07,True,False
2.0,12.0,fit_ok,5.681789583560942e-07,True,False
2.0,12.5,fit_ok,5.262239122000856e-07,True,False
2.0,13.0,fit_ok,4.998741651383259e-07,True,False
2.0,13.5,fit_ok,4.772001414901546e-07,True,False
2.0,14.0,fit_ok,4.5662261239401603e-07,True,False
2.0,14.5,fit_ok,4.3777398684843467e-07,True,False
2.0,15.0,fit_ok,4.204476574349249e-07,True,False
2.0,15.5,fit_ok,4.0447430806377563e-07,True,False
2.0,16.0,fit_ok,3.897073705031174e-07,True,False
2.0,16.5,fit_ok,3.7601969865150954e-07,True,False
2.0,17.0,fit_ok,3.633009882965886e-07,True,False
2.0,17.5,fit_ok,3.514552918945722e-07,True,False
2.0,18.0,fit_ok,3.403988229028898e-07,True,False
2.0,18.5,fit_ok,3.3005811332180313e-07,True,False
2.0,19.0,fit_ok,3.203684558978768e-07,True,False
2.0,19.5,fit_ok,3.112726543007017e-07,True,False
2.0,20.0,fit_ok,3.02719954692026e-07,True,False
2.05,0.0,fit_ok,0.000252072138537,True,False
2.05,0.5,fit_ok,0.0001742729247379,True,False
2.05,1.0,fit_ok,2.3121587282595128e-05,True,False
2.05,1.5,fit_ok,1.8299634848069065e-05,True,False
2.05,2.0,fit_ok,5.988855616561633e-06,True,False
2.05,2.5,fit_ok,2.898676984018556e-06,True,False
2.05,3.0,fit_ok,3.819231069054973e-06,True,False
2.05,3.5,fit_ok,3.313506883949018e-06,True,False
2.05,4.0,fit_ok,8.77829511600072e-07,True,False
2.05,4.5,fit_ok,3.518017646719958e-06,True,False
2.05,5.0,fit_ok,4.7336899765707445e-06,True,False
2.05,5.5,fit_ok,3.134134578598e-06,True,False
2.05,6.0,fit_ok,9.578806611952534e-07,True,False
2.05,6.5,fit_ok,9.434594230125406e-07,True,False
2.05,7.0,fit_ok,1.6506345193893536e-06,True,False
2.05,7.5,fit_ok,1.5764726159614935e-06,True,False
2.05,8.0,fit_ok,1.1276057251717191e-06,True,False
2.05,8.5,fit_ok,9.112156872095324e-07,True,False
2.05,9.0,fit_ok,9.76524109798334e-07,True,False
2.05,9.5,fit_ok,9.431670770422332e-07,True,False
2.05,10.0,fit_ok,8.264843951775303e-07,True,False
2.05,10.5,fit_ok,7.666118152745344e-07,True,False
2.05,11.0,fit_ok,7.349842909776656e-07,True,False
2.05,11.5,fit_ok,5.904045511876517e-07,True,False
2.05,12.0,fit_ok,8.009192420848236e-07,True,False
2.05,12.5,fit_ok,6.332392969396266e-07,True,False
2.05,13.0,fit_ok,5.883562918081175e-07,True,False
2.05,13.5,fit_ok,5.600921589294086e-07,True,False
2.05,14.0,fit_ok,5.358370581014068e-07,True,False
2.05,14.5,fit_ok,5.137764519112452e-07,True,False
2.05,15.0,fit_ok,4.935007573965785e-07,True,False
2.05,15.5,fit_ok,4.748008464614347e-07,True,False
2.05,16.0,fit_ok,4.57509243764405e-07,True,False
2.05,16.5,fit_ok,4.414799427913047e-07,True,False
2.05,17.0,fit_ok,4.265849832337939e-07,True,False
2.05,17.5,fit_ok,4.127124493168597e-07,True,False
2.05,18.0,fit_ok,3.997643300400389e-07,True,False
2.05,18.5,fit_ok,3.876545882131254e-07,True,False
2.05,19.0,fit_ok,3.763074371459443e-07,True,False
2.05,19.5,fit_ok,3.656558418754083e-07,True,False
2.05,20.0,fit_ok,3.55640346757607e-07,True,False
2.1,0.0,fit_ok,6.914793180176545e-05,True,False
2.1,0.5,fit_ok,0.0004531469359641,True,False
2.1,1.0,fit_ok,0.0005285818844909,True,False
2.1,1.5,fit_ok,9.743491006946717e-06,True,False
2.1,2.0,fit_ok,4.331897108821434e-06,True,False
2.1,2.5,fit_ok,5.216332307773621e-06,True,False
2.1,3.0,fit_ok,4.955567010999514e-06,True,False
2.1,3.5,fit_ok,4.0434827961190905e-06,True,False
2.1,4.0,fit_ok,1.876511057724429e-06,True,False
2.1,4.5,fit_ok,4.600735755725365e-06,True,False
2.1,5.0,fit_ok,5.87064677077576e-06,True,False
2.1,5.5,fit_ok,4.1403393769442195e-06,True,False
2.1,6.0,fit_ok,1.3858695048411504e-06,True,False
2.1,6.5,fit_ok,6.583475232430723e-07,True,False
2.1,7.0,fit_ok,1.8350473470264252e-06,True,False
2.1,7.5,fit_ok,1.991709833950166e-06,True,False
2.1,8.0,fit_ok,1.5147660091666075e-06,True,False
2.1,8.5,fit_ok,1.026615446933021e-06,True,False
2.1,9.0,fit_ok,1.0343659089785134e-06,True,False
2.1,9.5,fit_ok,1.1135216739419e-06,True,False
2.1,10.0,fit_ok,1.017059632187544e-06,True,False
2.1,10.5,fit_ok,8.860263852676212e-07,True,False
2.1,11.0,fit_ok,8.441621952564757e-07,True,False
2.1,11.5,fit_ok,8.068202071508738e-07,True,False
2.1,12.0,fit_ok,6.60789303031358e-07,True,False
2.1,12.5,fit_ok,8.831771537331781e-07,True,False
2.1,13.0,fit_ok,7.047551533459835e-07,True,False
2.1,13.5,fit_ok,6.553014523898634e-07,True,False
2.1,14.0,fit_ok,6.248439377750488e-07,True,False
2.1,14.5,fit_ok,5.989493020569962e-07,True,False
2.1,15.0,fit_ok,5.753845574338767e-07,True,False
2.1,15.5,fit_ok,5.536638299901571e-07,True,False
2.1,16.0,fit_ok,5.335695739973142e-07,True,False
2.1,16.5,fit_ok,5.149358908537065e-07,True,False
2.1,17.0,fit_ok,4.976179232685026e-07,True,False
2.1,17.5,fit_ok,4.814874937585593e-07,True,False
2.1,18.0,fit_ok,4.664314762481786e-07,True,False
2.1,18.5,fit_ok,4.5235013106234003e-07,True,False
2.1,19.0,fit_ok,4.391554217880319e-07,True,False
2.1,19.5,fit_ok,4.267694280414845e-07,True,False
2.1,20.0,fit_ok,4.151229867176286e-07,True,False
2.15,0.0,fit_ok,0.0001729105585835,True,False
2.15,0.5,fit_ok,0.0002630424955473,True,False
2.15,1.0,fit_ok,0.0006549235962915,True,False
2.15,1.5,fit_ok,8.919203471239591e-06,True,False
2.15,2.0,fit_ok,6.8363223516323715e-06,True,False
2.15,2.5,fit_ok,7.3032477962958466e-06,True,False
2.15,3.0,fit_ok,5.7746132640141704e-06,True,False
2.15,3.5,fit_ok,4.147506799265622e-06,True,False
2.15,4.0,fit_ok,4.095271097316225e-06,True,False
2.15,4.5,fit_ok,5.010552226729189e-06,True,False
2.15,5.0,fit_ok,6.488053925509388e-06,True,False
2.15,5.5,fit_ok,5.286397639427306e-06,True,False
2.15,6.0,fit_ok,2.135582183935527e-06,True,False
2.15,6.5,fit_ok,2.705212826850155e-07,True,False
2.15,7.0,fit_ok,1.9045858380112984e-06,True,False
2.15,7.5,fit_ok,2.4128577840457114e-06,True,False
2.15,8.0,fit_ok,2.038804928045466e-06,True,False
2.15,8.5,fit_ok,1.328093224014127e-06,True,False
2.15,9.0,fit_ok,1.0464602528944508e-06,True,False
2.15,9.5,fit_ok,1.2155600933718329e-06,True,False
2.15,10.0,fit_ok,1.2360396536877934e-06,True,False
2.15,10.5,fit_ok,1.0840986825705426e-06,True,False
2.15,11.0,fit_ok,9.516472140794706e-07,True,False
2.15,11.5,fit_ok,9.281063543915504e-07,True,False
2.15,12.0,fit_ok,8.869317002499914e-07,True,False
2.15,12.5,fit_ok,7.205029027935015e-07,True,False
2.15,13.0,fit_ok,9.853636299143532e-07,True,False
2.15,13.5,fit_ok,7.834476199092442e-07,True,False
2.15,14.0,fit_ok,7.273225778662741e-07,True,False
2.15,14.5,fit_ok,6.942621672554002e-07,True,False
2.15,15.0,fit_ok,6.666437129508528e-07,True,False
2.15,15.5,fit_ok,6.415542985239351e-07,True,False
2.15,16.0,fit_ok,6.183765419827242e-07,True,False
2.15,16.5,fit_ok,5.96873683758499e-07,True,False
2.15,17.0,fit_ok,5.768800801890539e-07,True,False
2.15,17.5,fit_ok,5.582525725466299e-07,True,False
2.15,18.0,fit_ok,5.408634402835119e-07,True,False
2.15,18.5,fit_ok,5.245988914392074e-07,True,False
2.15,19.0,fit_ok,5.093578443113342e-07,True,False
2.15,19.5,fit_ok,4.950505401452352e-07,True,False
2.15,20.0,fit_ok,4.815971727660194e-07,True,False
2.2,0.0,fit_ok,0.0002632397132295,True,False
2.2,0.5,fit_ok,0.0004224934938061,True,False
2.2,1.0,fit_ok,0.0005327532494064,True,False
2.2,1.5,fit_ok,0.0004254060924031,True,False
2.2,2.0,fit_ok,9.835069537596028e-06,True,False
2.2,2.5,fit_ok,8.957542949629725e-06,True,False
2.2,3.0,fit_ok,6.516416635958048e-06,True,False
2.2,3.5,fit_ok,4.4258999668138025e-06,True,False
2.2,4.0,fit_ok,4.4191081796445886e-06,True,False
2.2,4.5,fit_ok,6.1692384890374544e-06,True,False
2.2,5.0,fit_ok,6.141957550537684e-06,True,False
2.2,5.5,fit_ok,6.048538924263188e-06,True,False
2.2,6.0,fit_ok,3.0892365215465982e-06,True,False
2.2,6.5,fit_ok,6.777472960255819e-07,True,False
2.2,7.0,fit_ok,1.8179291192692132e-06,True,False
2.2,7.5,fit_ok,2.7909355695441585e-06,True,False
2.2,8.0,fit_ok,2.6379481631679815e-06,True,False
2.2,8.5,fit_ok,1.8738867480418912e-06,True,False
2.2,9.0,fit_ok,1.1632466634043205e-06,True,False
2.2,9.5,fit_ok,1.2064346950794743e-06,True,False
2.2,10.0,fit_ok,1.407203407013993e-06,True,False
2.2,10.5,fit_ok,1.34140617358402e-06,True,False
2.2,11.0,fit_ok,1.1502660865880952e-06,True,False
2.2,11.5,fit_ok,1.0239088404943798e-06,True,False
2.2,12.0,fit_ok,1.0172862089072207e-06,True,False
2.2,12.5,fit_ok,9.774644214240109e-07,True,False
2.2,13.0,fit_ok,7.732816351445907e-07,True,False
2.2,13.5,fit_ok,1.1112478022770016e-06,True,False
2.2,14.0,fit_ok,8.706145696608976e-07,True,False
2.2,14.5,fit_ok,8.048070951756566e-07,True,False
2.2,15.0,fit_ok,7.685028267911577e-07,True,False
2.2,15.5,fit_ok,7.390241501884451e-07,True,False
2.2,16.0,fit_ok,7.123831421163773e-07,True,False
2.2,16.5,fit_ok,6.877408812656539e-07,True,False
2.2,17.0,fit_ok,6.6482151413269e-07,True,False
2.2,17.5,fit_ok,6.434563005486619e-07,True,False
2.2,18.0,fit_ok,6.235039822159581e-07,True,False
2.2,18.5,fit_ok,6.048380144317118e-07,True,False
2.2,19.0,fit_ok,5.87344584366273e-07,True,False
2.2,19.5,fit_ok,5.7092174000426e-07,True,False
2.2,20.0,fit_ok,5.554783611227552e-07,True,False
2.25,0.0,fit_ok,7.530693692198737e-05,True,False
2.25,0.5,fit_ok,0.0002091959723996,True,False
2.25,1.0,fit_ok,0.0003456648305923,True,False
2.25,1.5,fit_ok,0.0007838338601815,True,False
2.25,2.0,fit_ok,1.264351179234976e-05,True,False
2.25,2.5,fit_ok,1.0478411587144236e-05,True,False
2.25,3.0,fit_ok,7.371570377860869e-06,True,False
2.25,3.5,fit_ok,4.938472331787031e-06,True,False
2.25,4.0,fit_ok,4.583927318521342e-06,True,False
2.25,4.5,fit_ok,6.167305319650184e-06,True,False
2.25,5.0,fit_ok,6.359840080110186e-06,True,False
2.25,5.5,fit_ok,5.840536788307613e-06,True,False
2.25,6.0,fit_ok,3.711152450237789e-06,True,False
2.25,6.5,fit_ok,7.946537863453816e-07,True,False
2.25,7.0,fit_ok,1.4131369611597235e-06,True,False
2.25,7.5,fit_ok,3.069708571674028e-06,True,False
2.25,8.0,fit_ok,3.239139692722749e-06,True,False
2.25,8.5,fit_ok,2.590892117109044e-06,True,False
2.25,9.0,fit_ok,1.6039938841872896e-06,True,False
2.25,9.5,fit_ok,1.155741439976773e-06,True,False
2.25,10.0,fit_ok,1.4396739045198313e-06,True,False
2.25,10.5,fit_ok,1.5861821018305606e-06,True,False
2.25,11.0,fit_ok,1.4349387413685837e-06,True,False
2.25,11.5,fit_ok,1.219689230655734e-06,True,False
2.25,12.0,fit_ok,1.1023457179524798e-06,True,False
2.25,12.5,fit_ok,1.1107468415360514e-06,True,False
2.25,13.0,fit_ok,1.0789227223686336e-06,True,False
2.25,13.5,fit_ok,8.330910807380073e-07,True,False
2.25,14.0,fit_ok,1.2678432657214977e-06,True,False
2.25,14.5,fit_ok,9.684061052608609e-07,True,False
2.25,15.0,fit_ok,8.883535384123434e-07,True,False
2.25,15.5,fit_ok,8.477715905998274e-07,True,False
2.25,16.0,fit_ok,8.161992780589443e-07,True,False
2.25,16.5,fit_ok,7.879608536109469e-07,True,False
2.25,17.0,fit_ok,7.618478306359409e-07,True,False
2.25,17.5,fit_ok,7.375097973021644e-07,True,False
2.25,18.0,fit_ok,7.147674869593007e-07,True,False
2.25,18.5,fit_ok,6.934808331861838e-07,True,False
2.25,19.0,fit_ok,6.735251114348054e-07,True,False
2.25,19.5,fit_ok,6.547872255310367e-07,True,False
2.25,20.0,fit_ok,6.371649323050488e-07,True,False
2.3,0.0,fit_ok,0.0001481686476728,True,False
2.3,0.5,fit_ok,0.0003217850930178,True,False
2.3,1.0,fit_ok,0.0001408645553483,True,False
2.3,1.5,fit_ok,0.0004116960386051,True,False
2.3,2.0,fit_ok,0.0004743922609546,True,False
2.3,2.5,fit_ok,1.2138597344380894e-05,True,False
2.3,3.0,fit_ok,8.45529945516886e-06,True,False
2.3,3.5,fit_ok,5.700307831216785e-06,True,False
2.3,4.0,fit_ok,4.91844786589025e-06,True,False
