theta_deg,u_D_meV,fit_status,cG_inf,rmse_cG_fit,selected_cG_inf_lt_m0p02,percent_error
2.0,0.0,fit_ok_best5,-0.0708652916077459,5.711248998140196e-05,True,0.08059303600630255
2.0,0.5,fit_ok_best5,-0.064608992427832,9.260508147324013e-05,True,0.14333156731499824
2.0,1.0,fit_ok_best5,0.0098302623644972,8.75124243207348e-06,False,
2.0,1.5,fit_ok_best5,0.0067120547270673,1.0409537823381404e-05,False,
2.0,2.0,fit_ok_best5,0.0051034005940842,1.2728154781663132e-06,False,
2.0,2.5,fit_ok_best5,0.0041675540479403,1.0808002324012491e-06,False,
2.0,3.0,fit_ok_best5,0.0034962735355799,1.321588360359445e-06,False,
2.0,3.5,fit_ok_best5,0.0029318469056031,2.6806287370338513e-07,False,
2.0,4.0,fit_ok_best5,0.0025302178400333,2.2748768521769906e-07,False,
2.0,4.5,fit_ok_best5,0.0022222591371028,2.0702109810034878e-07,False,
2.0,5.0,fit_ok_best5,0.0019316886560339,1.7009097216481535e-06,False,
2.0,5.5,fit_ok_best5,0.0016071285865441,1.2178479967222458e-07,False,
2.0,6.0,fit_ok_best5,0.0014327381632839,1.122699141031715e-07,False,
2.0,6.5,fit_ok_best5,0.0012910318137528,2.89233429785911e-07,False,
2.0,7.0,fit_ok_best5,0.0011529729681784,6.585509728814727e-07,False,
2.0,7.5,fit_ok_best5,0.0009971705893283,2.958987635092967e-07,False,
2.0,8.0,fit_ok_best5,0.0008970996723512,3.029088759904716e-07,False,
2.0,8.5,fit_ok_best5,0.0008075259629891,4.008056589615079e-07,False,
2.0,9.0,fit_ok_best5,0.0007290442266363,3.2474702876080045e-07,False,
2.0,9.5,fit_ok_best5,0.0006618539403524,2.725607553505241e-07,False,
2.0,10.0,fit_ok_best5,0.0006029928970207,2.831172880831225e-07,False,
2.0,10.5,fit_ok_best5,0.0005512500907378,2.69570515658762e-07,False,
2.0,11.0,fit_ok_best5,0.0005112958702899,2.015341143826693e-07,False,
2.0,11.5,fit_ok_best5,0.0004715648714315,2.52498660267669e-07,False,
2.0,12.0,fit_ok_best5,0.0004335324935238,2.0033060112130754e-07,False,
2.0,12.5,fit_ok_best5,0.0004076652889833,2.0011097276977427e-07,False,
2.0,13.0,fit_ok_best5,0.0003851049677419,1.9276617817754399e-07,False,
2.0,13.5,fit_ok_best5,0.0003650419847855,1.8440573307497266e-07,False,
2.0,14.0,fit_ok_best5,0.0003469641279408,1.7649437718664737e-07,False,
2.0,14.5,fit_ok_best5,0.0003305278548335,1.6921055510193173e-07,False,
2.0,15.0,fit_ok_best5,0.0003154875755049,1.625163814275215e-07,False,
2.0,15.5,fit_ok_best5,0.0003016578863058,1.5634834903026646e-07,False,
2.0,16.0,fit_ok_best5,0.0002888927361293,1.506478187759476e-07,False,
2.0,16.5,fit_ok_best5,0.0002770733057488,1.453643111088231e-07,False,
2.0,17.0,fit_ok_best5,0.0002661005529039,1.404545791111992e-07,False,
2.0,17.5,fit_ok_best5,0.0002558903862167,1.358813230446743e-07,False,
2.0,18.0,fit_ok_best5,0.0002463703926535,1.3161215019403496e-07,False,
2.0,18.5,fit_ok_best5,0.0002374775264797,1.2761871984715525e-07,False,
2.0,19.0,fit_ok_best5,0.0002291564180468,1.2387611592263449e-07,False,
2.0,19.5,fit_ok_best5,0.0002213580972018,1.2036232569999133e-07,False,
2.0,20.0,fit_ok_best5,0.0002140390043934,1.170578159719704e-07,False,
2.05,0.0,fit_ok_best5,-0.0699334699087924,0.0001421044262225,True,0.2031994500027431
2.05,0.5,fit_ok_best5,-0.0672790545095457,8.365360773425824e-05,True,0.12433826299147721
2.05,1.0,fit_ok_best5,0.0110977689016444,7.236600555741212e-06,False,
2.05,1.5,fit_ok_best5,0.007952629578173,1.975183862712796e-06,False,
2.05,2.0,fit_ok_best5,0.0061733679934227,4.657540218382136e-07,False,
2.05,2.5,fit_ok_best5,0.0049994735301304,9.761915091605935e-07,False,
2.05,3.0,fit_ok_best5,0.0041726383086421,1.230318489934877e-06,False,
2.05,3.5,fit_ok_best5,0.0034314936995271,5.760384878429225e-07,False,
2.05,4.0,fit_ok_best5,0.0029819924455497,2.1827030900019187e-07,False,
2.05,4.5,fit_ok_best5,0.0026236107200068,1.907032313996377e-07,False,
2.05,5.0,fit_ok_best5,0.0022938786222374,2.2368496732522833e-06,False,
2.05,5.5,fit_ok_best5,0.0019037281740246,2.044955881042372e-07,False,
2.05,6.0,fit_ok_best5,0.0017080097278315,8.609490985009541e-08,False,
2.05,6.5,fit_ok_best5,0.0015408293501304,1.895936037319278e-07,False,
2.05,7.0,fit_ok_best5,0.0013853369076689,5.544363730000648e-07,False,
2.05,7.5,fit_ok_best5,0.0011995398337306,4.479526592194699e-07,False,
2.05,8.0,fit_ok_best5,0.0010830951466883,2.3621554510536433e-07,False,
2.05,8.5,fit_ok_best5,0.0009902074804211,3.620614546637989e-07,False,
2.05,9.0,fit_ok_best5,0.0008867040250232,4.469563133997183e-07,False,
2.05,9.5,fit_ok_best5,0.000806349658879,3.147993527709544e-07,False,
2.05,10.0,fit_ok_best5,0.0007370238602377,3.089188393366561e-07,False,
2.05,10.5,fit_ok_best5,0.0006754001991366,3.1443302985252264e-07,False,
2.05,11.0,fit_ok_best5,0.0006212181280005,3.044454718473684e-07,False,
2.05,11.5,fit_ok_best5,0.0005791581476669,1.8314951417123897e-07,False,
2.05,12.0,fit_ok_best5,0.0005374473252589,2.813813182289244e-07,False,
2.05,12.5,fit_ok_best5,0.000496515720024,2.230429472661243e-07,False,
2.05,13.0,fit_ok_best5,0.0004685602687986,2.232518670073694e-07,False,
2.05,13.5,fit_ok_best5,0.0004440037053609,2.1580830931072105e-07,False,
2.05,14.0,fit_ok_best5,0.0004220539438998,2.0699549227868717e-07,False,
2.05,14.5,fit_ok_best5,0.0004021982112497,1.985391789498282e-07,False,
2.05,15.0,fit_ok_best5,0.0003840862881702,1.907048533260201e-07,False,
2.05,15.5,fit_ok_best5,0.0003674646275196,1.8347741140244174e-07,False,
2.05,16.0,fit_ok_best5,0.0003521401624523,1.7679838516984028e-07,False,
2.05,16.5,fit_ok_best5,0.0003379598986517,1.706096178322766e-07,False,
2.05,17.0,fit_ok_best5,0.0003247988415291,1.6485992966005208e-07,False,
2.05,17.5,fit_ok_best5,0.0003125524738757,1.59505114070134e-07,False,
2.05,18.0,fit_ok_best5,0.0003011318366158,1.545068663928667e-07,False,
2.05,18.5,fit_ok_best5,0.0002904601659913,1.498317800948195e-07,False,
2.05,19.0,fit_ok_best5,0.0002804705040277,1.45450542892957e-07,False,
2.05,19.5,fit_ok_best5,0.0002711039432705,1.4133729759999365e-07,False,
2.05,20.0,fit_ok_best5,0.0002623082962488,1.3746912838749326e-07,False,
2.1,0.0,fit_ok_best5,-0.070907137013971,2.558056086568855e-05,True,0.03607614401445704
2.1,0.5,fit_ok_best5,-0.0669604211789626,0.0002641100151667,True,0.3944270518562347
2.1,1.0,fit_ok_best5,-0.0585698644507399,0.0002995367986004,True,0.5114179474537199
2.1,1.5,fit_ok_best5,0.009676533376232,1.4567684126333574e-06,False,
2.1,2.0,fit_ok_best5,0.0074306038722643,1.3469663264497351e-06,False,
2.1,2.5,fit_ok_best5,0.005977517870922,2.106902075944826e-06,False,
2.1,3.0,fit_ok_best5,0.0049004408322104,2.298933373937004e-06,False,
2.1,3.5,fit_ok_best5,0.0040210523831926,5.855291688927722e-07,False,
2.1,4.0,fit_ok_best5,0.0034881337898399,4.259359080540291e-07,False,
2.1,4.5,fit_ok_best5,0.0030763592282429,1.4195363851287158e-07,False,
2.1,5.0,fit_ok_best5,0.0026974295977245,2.9454120028786005e-06,False,
2.1,5.5,fit_ok_best5,0.002234334385353,4.057716000602836e-07,False,
2.1,6.0,fit_ok_best5,0.0020105213994142,1.8780672496567374e-07,False,
2.1,6.5,fit_ok_best5,0.0018196871610914,6.658695839062132e-08,False,
2.1,7.0,fit_ok_best5,0.0016465754802636,3.199678499031706e-07,False,
2.1,7.5,fit_ok_best5,0.0014294634881848,7.861002674391713e-07,False,
2.1,8.0,fit_ok_best5,0.0012922241481506,1.9174286561448946e-07,False,
2.1,8.5,fit_ok_best5,0.0011849311749857,3.032403877025939e-07,False,
2.1,9.0,fit_ok_best5,0.0010924951637084,4.335663619364047e-07,False,
2.1,9.5,fit_ok_best5,0.0009720065891579,4.4849090266887635e-07,False,
2.1,10.0,fit_ok_best5,0.0008901062741461,3.12750148363011e-07,False,
2.1,10.5,fit_ok_best5,0.0008183856873507,3.569358917852016e-07,False,
2.1,11.0,fit_ok_best5,0.0007539901901,3.4431661161799666e-07,False,
2.1,11.5,fit_ok_best5,0.0006973925219325,3.399528392695937e-07,False,
2.1,12.0,fit_ok_best5,0.0006533807738775,1.96967317667238e-07,False,
2.1,12.5,fit_ok_best5,0.0006094663285975,3.116569000271916e-07,False,
2.1,13.0,fit_ok_best5,0.0005653966053535,2.4662427129567517e-07,False,
2.1,13.5,fit_ok_best5,0.0005352657779823,2.47712759853071e-07,False,
2.1,14.0,fit_ok_best5,0.0005086442454255,2.404570066953868e-07,False,
2.1,14.5,fit_ok_best5,0.0004847475798448,2.312744154891924e-07,False,
2.1,15.0,fit_ok_best5,0.0004630580035446,2.2229067059292175e-07,False,
2.1,15.5,fit_ok_best5,0.000443216518966,2.1390390329585693e-07,False,
2.1,16.0,fit_ok_best5,0.0004249606040356,2.061352682642234e-07,False,
2.1,16.5,fit_ok_best5,0.0004080890286254,1.98935295915659e-07,False,
2.1,17.0,fit_ok_best5,0.0003924416153583,1.922474477533701e-07,False,
2.1,17.5,fit_ok_best5,0.0003778870894463,1.8602023197523206e-07,False,
2.1,18.0,fit_ok_best5,0.0003643154273352,1.8020861494711457e-07,False,
2.1,18.5,fit_ok_best5,0.000351632809754,1.747733275531183e-07,False,
2.1,19.0,fit_ok_best5,0.0003397581520091,1.6968002830381874e-07,False,
2.1,19.5,fit_ok_best5,0.0003286206260188,1.6489847628523398e-07,False,
2.1,20.0,fit_ok_best5,0.0003181578332238,1.6040190935847813e-07,False,
2.15,0.0,fit_ok_best5,-0.0701392834026701,9.250892065879072e-05,True,0.13189316481563745
2.15,0.5,fit_ok_best5,-0.0689482044250011,0.0001442804367364,True,0.20925916481747114
2.15,1.0,fit_ok_best5,-0.0624278043314402,0.0003852593101878,True,0.6171277595194452
2.15,1.5,fit_ok_best5,0.0119683350380481,3.271844405390698e-06,False,
2.15,2.0,fit_ok_best5,0.008934396065287,2.5324971966031432e-06,False,
2.15,2.5,fit_ok_best5,0.0068754349236571,3.4755606059940846e-06,False,
2.15,3.0,fit_ok_best5,0.0055911664265295,2.232954943866102e-06,False,
2.15,3.5,fit_ok_best5,0.0046953047311699,6.907095621668778e-07,False,
2.15,4.0,fit_ok_best5,0.0040591673275905,8.192542077662486e-07,False,
2.15,4.5,fit_ok_best5,0.0035709129111393,6.828652085578531e-07,False,
2.15,5.0,fit_ok_best5,0.0029800981053346,3.6815004678727594e-06,False,
2.15,5.5,fit_ok_best5,0.0026038489068864,7.25111418929266e-07,False,
2.15,6.0,fit_ok_best5,0.0023462957116072,3.517122628829747e-07,False,
2.15,6.5,fit_ok_best5,0.0021286005464171,3.343641940947788e-08,False,
2.15,7.0,fit_ok_best5,0.0019364378908572,9.396354910936897e-08,False,
2.15,7.5,fit_ok_best5,0.001750464268414,1.0274195321575803e-06,False,
2.15,8.0,fit_ok_best5,0.001526086948119,3.41054182595549e-07,False,
2.15,8.5,fit_ok_best5,0.001394322390738,1.912669630271796e-07,False,
2.15,9.0,fit_ok_best5,0.0012850189266589,3.6227804322852513e-07,False,
2.15,9.5,fit_ok_best5,0.0011908341186526,5.158610379764512e-07,False,
2.15,10.0,fit_ok_best5,0.0010638561098791,4.194643513308383e-07,False,
2.15,10.5,fit_ok_best5,0.0009803763641738,3.3223408996378745e-07,False,
2.15,11.0,fit_ok_best5,0.0009060426577307,4.1067169465794265e-07,False,
2.15,11.5,fit_ok_best5,0.0008389152647499,3.7367392490109025e-07,False,
2.15,12.0,fit_ok_best5,0.000779893223505,3.735059765489705e-07,False,
2.15,12.5,fit_ok_best5,0.0007341016970858,2.226591539159501e-07,False,
2.15,13.0,fit_ok_best5,0.000687764247187,3.42432518976291e-07,False,
2.15,13.5,fit_ok_best5,0.0006403342693955,2.711189571292745e-07,False,
2.15,14.0,fit_ok_best5,0.0006079518045525,2.733503334704318e-07,False,
2.15,14.5,fit_ok_best5,0.0005792044671699,2.666734035885429e-07,False,
2.15,15.0,fit_ok_best5,0.000553307434754,2.572550718224593e-07,False,
2.15,15.5,fit_ok_best5,0.0005297343306594,2.477814382855765e-07,False,
2.15,16.0,fit_ok_best5,0.0005081155456338,2.3884847732784143e-07,False,
2.15,16.5,fit_ok_best5,0.0004881786143231,2.305347665793248e-07,False,
2.15,17.0,fit_ok_best5,0.0004697136311114,2.2280643409371986e-07,False,
2.15,17.5,fit_ok_best5,0.0004525529669047,2.1561066496641267e-07,False,
2.15,18.0,fit_ok_best5,0.0004365589340625,2.0889634697241042e-07,False,
2.15,18.5,fit_ok_best5,0.0004216159461536,2.0261783678844665e-07,False,
2.15,19.0,fit_ok_best5,0.0004076253134516,1.9673504880842633e-07,False,
2.15,19.5,fit_ok_best5,0.0003945016462387,1.9121273612671266e-07,False,
2.15,20.0,fit_ok_best5,0.000382170277367,1.860197777777187e-07,False,
2.2,0.0,fit_ok_best5,-0.0694690449119058,0.0001502826699861,True,0.21633041043917411
2.2,0.5,fit_ok_best5,-0.0685604582503284,0.0002464807132687,True,0.35950855574615326
2.2,1.0,fit_ok_best5,-0.06555869848418,0.0003099988632532,True,0.4728569517407457
