theta_deg,u_D_meV,fit_status,rmse_cG_fit,valid_fit,phase_grey_mask
2.0,0.0,fit_ok_best5,5.711248998140196e-05,True,False
2.0,0.5,fit_ok_best5,9.260508147324013e-05,True,False
2.0,1.0,fit_ok_best5,8.75124243207348e-06,True,False
2.0,1.5,fit_ok_best5,1.0409537823381404e-05,True,False
2.0,2.0,fit_ok_best5,1.2728154781663132e-06,True,False
2.0,2.5,fit_ok_best5,1.0808002324012491e-06,True,False
2.0,3.0,fit_ok_best5,1.321588360359445e-06,True,False
2.0,3.5,fit_ok_best5,2.6806287370338513e-07,True,False
2.0,4.0,fit_ok_best5,2.2748768521769906e-07,True,False
2.0,4.5,fit_ok_best5,2.0702109810034878e-07,True,False
2.0,5.0,fit_ok_best5,1.7009097216481535e-06,True,False
2.0,5.5,fit_ok_best5,1.2178479967222458e-07,True,False
2.0,6.0,fit_ok_best5,1.122699141031715e-07,True,False
2.0,6.5,fit_ok_best5,2.89233429785911e-07,True,False
2.0,7.0,fit_ok_best5,6.585509728814727e-07,True,False
2.0,7.5,fit_ok_best5,2.958987635092967e-07,True,False
2.0,8.0,fit_ok_best5,3.029088759904716e-07,True,False
2.0,8.5,fit_ok_best5,4.008056589615079e-07,True,False
2.0,9.0,fit_ok_best5,3.2474702876080045e-07,True,False
2.0,9.5,fit_ok_best5,2.725607553505241e-07,True,False
2.0,10.0,fit_ok_best5,2.831172880831225e-07,True,False
2.0,10.5,fit_ok_best5,2.69570515658762e-07,True,False
2.0,11.0,fit_ok_best5,2.015341143826693e-07,True,False
2.0,11.5,fit_ok_best5,2.52498660267669e-07,True,False
2.0,12.0,fit_ok_best5,2.0033060112130754e-07,True,False
2.0,12.5,fit_ok_best5,2.0011097276977427e-07,True,False
2.0,13.0,fit_ok_best5,1.9276617817754399e-07,True,False
2.0,13.5,fit_ok_best5,1.8440573307497266e-07,True,False
2.0,14.0,fit_ok_best5,1.7649437718664737e-07,True,False
2.0,14.5,fit_ok_best5,1.6921055510193173e-07,True,False
2.0,15.0,fit_ok_best5,1.625163814275215e-07,True,False
2.0,15.5,fit_ok_best5,1.5634834903026646e-07,True,False
2.0,16.0,fit_ok_best5,1.506478187759476e-07,True,False
2.0,16.5,fit_ok_best5,1.453643111088231e-07,True,False
2.0,17.0,fit_ok_best5,1.404545791111992e-07,True,False
2.0,17.5,fit_ok_best5,1.358813230446743e-07,True,False
2.0,18.0,fit_ok_best5,1.3161215019403496e-07,True,False
2.0,18.5,fit_ok_best5,1.2761871984715525e-07,True,False
2.0,19.0,fit_ok_best5,1.2387611592263449e-07,True,False
2.0,19.5,fit_ok_best5,1.2036232569999133e-07,True,False
2.0,20.0,fit_ok_best5,1.170578159719704e-07,True,False
2.05,0.0,fit_ok_best5,0.0001421044262225,True,False
2.05,0.5,fit_ok_best5,8.365360773425824e-05,True,False
2.05,1.0,fit_ok_best5,7.236600555741212e-06,True,False
2.05,1.5,fit_ok_best5,1.975183862712796e-06,True,False
2.05,2.0,fit_ok_best5,4.657540218382136e-07,True,False
2.05,2.5,fit_ok_best5,9.761915091605935e-07,True,False
2.05,3.0,fit_ok_best5,1.230318489934877e-06,True,False
2.05,3.5,fit_ok_best5,5.760384878429225e-07,True,False
2.05,4.0,fit_ok_best5,2.1827030900019187e-07,True,False
2.05,4.5,fit_ok_best5,1.907032313996377e-07,True,False
2.05,5.0,fit_ok_best5,2.2368496732522833e-06,True,False
2.05,5.5,fit_ok_best5,2.044955881042372e-07,True,False
2.05,6.0,fit_ok_best5,8.609490985009541e-08,True,False
2.05,6.5,fit_ok_best5,1.895936037319278e-07,True,False
2.05,7.0,fit_ok_best5,5.544363730000648e-07,True,False
2.05,7.5,fit_ok_best5,4.479526592194699e-07,True,False
2.05,8.0,fit_ok_best5,2.3621554510536433e-07,True,False
2.05,8.5,fit_ok_best5,3.620614546637989e-07,True,False
2.05,9.0,fit_ok_best5,4.469563133997183e-07,True,False
2.05,9.5,fit_ok_best5,3.147993527709544e-07,True,False
2.05,10.0,fit_ok_best5,3.089188393366561e-07,True,False
2.05,10.5,fit_ok_best5,3.1443302985252264e-07,True,False
2.05,11.0,fit_ok_best5,3.044454718473684e-07,True,False
2.05,11.5,fit_ok_best5,1.8314951417123897e-07,True,False
2.05,12.0,fit_ok_best5,2.813813182289244e-07,True,False
2.05,12.5,fit_ok_best5,2.230429472661243e-07,True,False
2.05,13.0,fit_ok_best5,2.232518670073694e-07,True,False
2.05,13.5,fit_ok_best5,2.1580830931072105e-07,True,False
2.05,14.0,fit_ok_best5,2.0699549227868717e-07,True,False
2.05,14.5,fit_ok_best5,1.985391789498282e-07,True,False
2.05,15.0,fit_ok_best5,1.907048533260201e-07,True,False
2.05,15.5,fit_ok_best5,1.8347741140244174e-07,True,False
2.05,16.0,fit_ok_best5,1.7679838516984028e-07,True,False
2.05,16.5,fit_ok_best5,1.706096178322766e-07,True,False
2.05,17.0,fit_ok_best5,1.6485992966005208e-07,True,False
2.05,17.5,fit_ok_best5,1.59505114070134e-07,True,False
2.05,18.0,fit_ok_best5,1.545068663928667e-07,True,False
2.05,18.5,fit_ok_best5,1.498317800948195e-07,True,False
2.05,19.0,fit_ok_best5,1.45450542892957e-07,True,False
2.05,19.5,fit_ok_best5,1.4133729759999365e-07,True,False
2.05,20.0,fit_ok_best5,1.3746912838749326e-07,True,False
2.1,0.0,fit_ok_best5,2.558056086568855e-05,True,False
2.1,0.5,fit_ok_best5,0.0002641100151667,True,False
2.1,1.0,fit_ok_best5,0.0002995367986004,True,False
2.1,1.5,fit_ok_best5,1.4567684126333574e-06,True,False
2.1,2.0,fit_ok_best5,1.3469663264497351e-06,True,False
2.1,2.5,fit_ok_best5,2.106902075944826e-06,True,False
2.1,3.0,fit_ok_best5,2.298933373937004e-06,True,False
2.1,3.5,fit_ok_best5,5.855291688927722e-07,True,False
2.1,4.0,fit_ok_best5,4.259359080540291e-07,True,False
2.1,4.5,fit_ok_best5,1.4195363851287158e-07,True,False
2.1,5.0,fit_ok_best5,2.9454120028786005e-06,True,False
2.1,5.5,fit_ok_best5,4.057716000602836e-07,True,False
2.1,6.0,fit_ok_best5,1.8780672496567374e-07,True,False
2.1,6.5,fit_ok_best5,6.658695839062132e-08,True,False
2.1,7.0,fit_ok_best5,3.199678499031706e-07,True,False
2.1,7.5,fit_ok_best5,7.861002674391713e-07,True,False
2.1,8.0,fit_ok_best5,1.9174286561448946e-07,True,False
2.1,8.5,fit_ok_best5,3.032403877025939e-07,True,False
2.1,9.0,fit_ok_best5,4.335663619364047e-07,True,False
2.1,9.5,fit_ok_best5,4.4849090266887635e-07,True,False
2.1,10.0,fit_ok_best5,3.12750148363011e-07,True,False
2.1,10.5,fit_ok_best5,3.569358917852016e-07,True,False
2.1,11.0,fit_ok_best5,3.4431661161799666e-07,True,False
2.1,11.5,fit_ok_best5,3.399528392695937e-07,True,False
2.1,12.0,fit_ok_best5,1.96967317667238e-07,True,False
2.1,12.5,fit_ok_best5,3.116569000271916e-07,True,False
2.1,13.0,fit_ok_best5,2.4662427129567517e-07,True,False
2.1,13.5,fit_ok_best5,2.47712759853071e-07,True,False
2.1,14.0,fit_ok_best5,2.404570066953868e-07,True,False
2.1,14.5,fit_ok_best5,2.312744154891924e-07,True,False
2.1,15.0,fit_ok_best5,2.2229067059292175e-07,True,False
2.1,15.5,fit_ok_best5,2.1390390329585693e-07,True,False
2.1,16.0,fit_ok_best5,2.061352682642234e-07,True,False
2.1,16.5,fit_ok_best5,1.98935295915659e-07,True,False
2.1,17.0,fit_ok_best5,1.922474477533701e-07,True,False
2.1,17.5,fit_ok_best5,1.8602023197523206e-07,True,False
2.1,18.0,fit_ok_best5,1.8020861494711457e-07,True,False
2.1,18.5,fit_ok_best5,1.747733275531183e-07,True,False
2.1,19.0,fit_ok_best5,1.6968002830381874e-07,True,False
2.1,19.5,fit_ok_best5,1.6489847628523398e-07,True,False
2.1,20.0,fit_ok_best5,1.6040190935847813e-07,True,False
2.15,0.0,fit_ok_best5,9.250892065879072e-05,True,False
2.15,0.5,fit_ok_best5,0.0001442804367364,True,False
2.15,1.0,fit_ok_best5,0.0003852593101878,True,False
2.15,1.5,fit_ok_best5,3.271844405390698e-06,True,False
2.15,2.0,fit_ok_best5,2.5324971966031432e-06,True,False
2.15,2.5,fit_ok_best5,3.4755606059940846e-06,True,False
2.15,3.0,fit_ok_best5,2.232954943866102e-06,True,False
2.15,3.5,fit_ok_best5,6.907095621668778e-07,True,False
2.15,4.0,fit_ok_best5,8.192542077662486e-07,True,False
2.15,4.5,fit_ok_best5,6.828652085578531e-07,True,False
2.15,5.0,fit_ok_best5,3.6815004678727594e-06,True,False
2.15,5.5,fit_ok_best5,7.25111418929266e-07,True,False
2.15,6.0,fit_ok_best5,3.517122628829747e-07,True,False
2.15,6.5,fit_ok_best5,3.343641940947788e-08,True,False
2.15,7.0,fit_ok_best5,9.396354910936897e-08,True,False
2.15,7.5,fit_ok_best5,1.0274195321575803e-06,True,False
2.15,8.0,fit_ok_best5,3.41054182595549e-07,True,False
2.15,8.5,fit_ok_best5,1.912669630271796e-07,True,False
2.15,9.0,fit_ok_best5,3.6227804322852513e-07,True,False
2.15,9.5,fit_ok_best5,5.158610379764512e-07,True,False
2.15,10.0,fit_ok_best5,4.194643513308383e-07,True,False
2.15,10.5,fit_ok_best5,3.3223408996378745e-07,True,False
2.15,11.0,fit_ok_best5,4.1067169465794265e-07,True,False
2.15,11.5,fit_ok_best5,3.7367392490109025e-07,True,False
2.15,12.0,fit_ok_best5,3.735059765489705e-07,True,False
2.15,12.5,fit_ok_best5,2.226591539159501e-07,True,False
2.15,13.0,fit_ok_best5,3.42432518976291e-07,True,False
2.15,13.5,fit_ok_best5,2.711189571292745e-07,True,False
2.15,14.0,fit_ok_best5,2.733503334704318e-07,True,False
2.15,14.5,fit_ok_best5,2.666734035885429e-07,True,False
2.15,15.0,fit_ok_best5,2.572550718224593e-07,True,False
2.15,15.5,fit_ok_best5,2.477814382855765e-07,True,False
2.15,16.0,fit_ok_best5,2.3884847732784143e-07,True,False
2.15,16.5,fit_ok_best5,2.305347665793248e-07,True,False
2.15,17.0,fit_ok_best5,2.2280643409371986e-07,True,False
2.15,17.5,fit_ok_best5,2.1561066496641267e-07,True,False
2.15,18.0,fit_ok_best5,2.0889634697241042e-07,True,False
2.15,18.5,fit_ok_best5,2.0261783678844665e-07,True,False
2.15,19.0,fit_ok_best5,1.9673504880842633e-07,True,False
2.15,19.5,fit_ok_best5,1.9121273612671266e-07,True,False
2.15,20.0,fit_ok_best5,1.860197777777187e-07,True,False
2.2,0.0,fit_ok_best5,0.0001502826699861,True,False
2.2,0.5,fit_ok_best5,0.0002464807132687,True,False
2.2,1.0,fit_ok_best5,0.0003099988632532,True,False
2.2,1.5,fit_ok_best5,0.0002255977087624,True,False
2.2,2.0,fit_ok_best5,4.24536233529101e-06,True,False
2.2,2.5,fit_ok_best5,3.781759798501085e-06,True,False
2.2,3.0,fit_ok_best5,2.20319838842468e-06,True,False
2.2,3.5,fit_ok_best5,9.251623845471736e-07,True,False
2.2,4.0,fit_ok_best5,1.1299619214131035e-06,True,False
2.2,4.5,fit_ok_best5,1.3399463818555442e-06,True,False
2.2,5.0,fit_ok_best5,2.793373378253993e-06,True,False
2.2,5.5,fit_ok_best5,1.0047186083647945e-06,True,False
2.2,6.0,fit_ok_best5,3.942689569234977e-07,True,False
2.2,6.5,fit_ok_best5,8.125761162576788e-08,True,False
2.2,7.0,fit_ok_best5,1.2035285138497958e-07,True,False
2.2,7.5,fit_ok_best5,6.251698692509151e-07,True,False
2.2,8.0,fit_ok_best5,8.228236181367512e-07,True,False
2.2,8.5,fit_ok_best5,3.527690342983597e-08,True,False
2.2,9.0,fit_ok_best5,2.0550051187411255e-07,True,False
2.2,9.5,fit_ok_best5,3.847240635566587e-07,True,False
2.2,10.0,fit_ok_best5,6.574041166994889e-07,True,False
2.2,10.5,fit_ok_best5,3.791227901000101e-07,True,False
2.2,11.0,fit_ok_best5,3.742209734812252e-07,True,False
2.2,11.5,fit_ok_best5,4.596559691730946e-07,True,False
2.2,12.0,fit_ok_best5,4.035680628580717e-07,True,False
2.2,12.5,fit_ok_best5,4.03318527064345e-07,True,False
2.2,13.0,fit_ok_best5,2.738938953520225e-07,True,False
2.2,13.5,fit_ok_best5,3.743746103443556e-07,True,False
2.2,14.0,fit_ok_best5,2.968842565857149e-07,True,False
2.2,14.5,fit_ok_best5,2.999436847904169e-07,True,False
2.2,15.0,fit_ok_best5,2.943706073660346e-07,True,False
2.2,15.5,fit_ok_best5,2.8492744763399765e-07,True,False
2.2,16.0,fit_ok_best5,2.750325101161092e-07,True,False
2.2,16.5,fit_ok_best5,2.6557218207808997e-07,True,False
2.2,17.0,fit_ok_best5,2.567152566607405e-07,True,False
2.2,17.5,fit_ok_best5,2.484543720774312e-07,True,False
2.2,18.0,fit_ok_best5,2.407441195872277e-07,True,False
2.2,18.5,fit_ok_best5,2.3353497658065146e-07,True,False
2.2,19.0,fit_ok_best5,2.2678118799806137e-07,True,False
2.2,19.5,fit_ok_best5,2.2044200658740166e-07,True,False
2.2,20.0,fit_ok_best5,2.1448139228008157e-07,True,False
2.25,0.0,fit_ok_best5,3.1154369716007314e-05,True,False
2.25,0.5,fit_ok_best5,0.0001116123127359,True,False
2.25,1.0,fit_ok_best5,0.0001924251404623,True,False
2.25,1.5,fit_ok_best5,0.0004623646964939,True,False
2.25,2.0,fit_ok_best5,5.942108542853466e-06,True,False
2.25,2.5,fit_ok_best5,4.117020621688574e-06,True,False
2.25,3.0,fit_ok_best5,2.3995883988843955e-06,True,False
2.25,3.5,fit_ok_best5,1.2549322428434929e-06,True,False
2.25,4.0,fit_ok_best5,1.3505432404374457e-06,True,False
2.25,4.5,fit_ok_best5,1.616691366088905e-06,True,False
2.25,5.0,fit_ok_best5,2.961907399033337e-06,True,False
2.25,5.5,fit_ok_best5,1.5502513803270403e-06,True,False
2.25,6.0,fit_ok_best5,1.808588217006693e-07,True,False
2.25,6.5,fit_ok_best5,1.507634095446836e-07,True,False
2.25,7.0,fit_ok_best5,1.8382682595782258e-07,True,False
2.25,7.5,fit_ok_best5,1.5896497504367284e-07,True,False
2.25,8.0,fit_ok_best5,1.5913762553930846e-06,True,False
2.25,8.5,fit_ok_best5,2.106494397000789e-07,True,False
2.25,9.0,fit_ok_best5,1.0130653097437741e-07,True,False
2.25,9.5,fit_ok_best5,2.757004816922923e-07,True,False
2.25,10.0,fit_ok_best5,4.3780202512183754e-07,True,False
2.25,10.5,fit_ok_best5,6.365398530610001e-07,True,False
2.25,11.0,fit_ok_best5,3.452313712078893e-07,True,False
2.25,11.5,fit_ok_best5,4.3304238277918146e-07,True,False
2.25,12.0,fit_ok_best5,5.147339462858572e-07,True,False
2.25,12.5,fit_ok_best5,4.351327359215325e-07,True,False
2.25,13.0,fit_ok_best5,4.2843206056859483e-07,True,False
2.25,13.5,fit_ok_best5,3.780498902499334e-07,True,False
2.25,14.0,fit_ok_best5,4.109034220172998e-07,True,False
2.25,14.5,fit_ok_best5,3.251088649978884e-07,True,False
2.25,15.0,fit_ok_best5,3.2720179083729514e-07,True,False
2.25,15.5,fit_ok_best5,3.233934872959177e-07,True,False
2.25,16.0,fit_ok_best5,3.142476436028268e-07,True,False
2.25,16.5,fit_ok_best5,3.040481429415866e-07,True,False
2.25,17.0,fit_ok_best5,2.94099068862883e-07,True,False
2.25,17.5,fit_ok_best5,2.8470948660930113e-07,True,False
2.25,18.0,fit_ok_best5,2.759163439359127e-07,True,False
2.25,18.5,fit_ok_best5,2.6768780825029424e-07,True,False
2.25,19.0,fit_ok_best5,2.599782215374562e-07,True,False
2.25,19.5,fit_ok_best5,2.5274253148624773e-07,True,False
2.25,20.0,fit_ok_best5,2.459396932465366e-07,True,False
2.3,0.0,fit_ok_best5,7.801906915698656e-05,True,False
2.3,0.5,fit_ok_best5,0.0001839057431165,True,False
2.3,1.0,fit_ok_best5,6.265491685355259e-05,True,False
2.3,1.5,fit_ok_best5,0.0001247484081396,True,False
2.3,2.0,fit_ok_best5,0.0002454977762817,True,False
2.3,2.5,fit_ok_best5,4.66697350171727e-06,True,False
2.3,3.0,fit_ok_best5,2.8114387753657184e-06,True,False
2.3,3.5,fit_ok_best5,1.668166131572598e-06,True,False
2.3,4.0,fit_ok_best5,1.5846069674452592e-06,True,False
2.3,4.5,fit_ok_best5,1.7259738047491787e-06,True,False
2.3,5.0,fit_ok_best5,2.7308897552773323e-06,True,False
2.3,5.5,fit_ok_best5,2.1452088181316016e-06,True,False
2.3,6.0,fit_ok_best5,4.144564990397393e-07,True,False
2.3,6.5,fit_ok_best5,3.709405996121806e-07,True,False
2.3,7.0,fit_ok_best5,2.573089367729725e-07,True,False
2.3,7.5,fit_ok_best5,3.2976705102875673e-07,True,False
2.3,8.0,fit_ok_best5,1.132904118629676e-06,True,False
2.3,8.5,fit_ok_best5,8.99618202876371e-07,True,False
2.3,9.0,fit_ok_best5,2.263922728193386e-07,True,False
2.3,9.5,fit_ok_best5,3.1421605324181166e-08,True,False
2.3,10.0,fit_ok_best5,2.9047282029551597e-07,True,False
2.3,10.5,fit_ok_best5,6.136549435519734e-07,True,False
2.3,11.0,fit_ok_best5,5.883423759700217e-07,True,False
2.3,11.5,fit_ok_best5,3.303018307963394e-07,True,False
2.3,12.0,fit_ok_best5,4.402535541622912e-07,True,False
2.3,12.5,fit_ok_best5,5.667969330349291e-07,True,False
2.3,13.0,fit_ok_best5,4.698037520089352e-07,True,False
2.3,13.5,fit_ok_best5,4.485542831109339e-07,True,False
2.3,14.0,fit_ok_best5,4.885060874786222e-07,True,False
2.3,14.5,fit_ok_best5,4.6146013260297227e-07,True,False
2.3,15.0,fit_ok_best5,3.5889637609982834e-07,True,False
2.3,15.5,fit_ok_best5,3.548295269342398e-07,True,False
2.3,16.0,fit_ok_best5,3.534948323376667e-07,True,False
2.3,16.5,fit_ok_best5,3.451213186180627e-07,True,False
2.3,17.0,fit_ok_best5,3.348076644906798e-07,True,False
2.3,17.5,fit_ok_best5,3.244398175446112e-07,True,False
2.3,18.0,fit_ok_best5,3.1454187866899233e-07,True,False
2.3,18.5,fit_ok_best5,3.052233508308927e-07,True,False
2.3,19.0,fit_ok_best5,2.9647645432621226e-07,True,False
2.3,19.5,fit_ok_best5,2.882633094720981e-07,True,False
2.3,20.0,fit_ok_best5,2.805410579162123e-07,True,False
2.35,0.0,fit_ok_best5,0.0001186572302474,True,False
2.35,0.5,fit_ok_best5,4.89280272127168e-05,True,False
2.35,1.0,fit_ok_best5,0.000171175344237,True,False
2.35,1.5,fit_ok_best5,0.000290287693046,True,False
2.35,2.0,fit_ok_best5,0.0001823194995898,True,False
2.35,2.5,fit_ok_best5,5.673627778386185e-06,True,False
2.35,3.0,fit_ok_best5,3.4243549314089965e-06,True,False
2.35,3.5,fit_ok_best5,2.1683405579392944e-06,True,False
2.35,4.0,fit_ok_best5,1.9069164007884412e-06,True,False
2.35,4.5,fit_ok_best5,1.876104467204043e-06,True,False
2.35,5.0,fit_ok_best5,2.7371203102424088e-06,True,False
2.35,5.5,fit_ok_best5,1.5949949136484031e-06,True,False
2.35,6.0,fit_ok_best5,1.0151581373376222e-06,True,False
2.35,6.5,fit_ok_best5,7.022957884352261e-07,True,False
2.35,7.0,fit_ok_best5,6.174552373082812e-07,True,False
2.35,7.5,fit_ok_best5,3.9857673741830826e-07,True,False
2.35,8.0,fit_ok_best5,2.720032450617142e-07,True,False
