role,theta_deg,u_D_meV,n_k,inv_n_k,cG,source_branch,cG_all_intercept,cG_all_slope,cG_all_rmse,fit_cG_at_inv_n_k
worst RMSE,3.05,6.0,18,0.0555555555555555,-0.0161688475456859,u_D_down,0.0211349360797571,-0.347738250325229,0.0167984309751311,0.0018161443950221769
worst RMSE,3.05,6.0,19,0.0526315789473684,0.0184412701537412,theta_up,0.0211349360797571,-0.347738250325229,0.0167984309751311,0.0028329229047450583
worst RMSE,3.05,6.0,20,0.05,0.0186872227617353,u_D_down,0.0211349360797571,-0.347738250325229,0.0167984309751311,0.003748023563495649
worst RMSE,3.05,6.0,21,0.0476190476190476,-0.0161668260322738,u_D_down,0.0211349360797571,-0.347738250325229,0.0167984309751311,0.004575971778555725
worst RMSE,3.05,6.0,22,0.0454545454545454,0.0193521242531425,theta_up,0.0211349360797571,-0.347738250325229,0.0167984309751311,0.0053286519740648915
worst RMSE,3.05,6.0,23,0.0434782608695652,0.0195420295818234,theta_up,0.0211349360797571,-0.347738250325229,0.0167984309751311,0.006015881717790628
worst RMSE,3.05,6.0,24,0.0416666666666666,-0.0127235345226025,theta_up,0.0211349360797571,-0.347738250325229,0.0167984309751311,0.006645842316205915
good,3.0,0.0,18,0.0555555555555555,-0.0406967934311212,u_D_up,-0.0495931951102537,0.1601419434387273,2.681368779842992e-07,-0.04069642047476886
good,3.0,0.0,19,0.0526315789473684,-0.0411643667122816,u_D_down,-0.0495931951102537,0.1601419434387273,2.681368779842992e-07,-0.04116467177137332
good,3.0,0.0,20,0.05,-0.041585734786467,u_D_up,-0.0495931951102537,0.1601419434387273,2.681368779842992e-07,-0.041586097938317336
good,3.0,0.0,21,0.0476190476190476,-0.0419673589767052,theta_up,-0.0495931951102537,0.1601419434387273,2.681368779842992e-07,-0.04196738827983812
good,3.0,0.0,22,0.0454545454545454,-0.0423142684549878,theta_up,-0.0495931951102537,0.1601419434387273,2.681368779842992e-07,-0.04231401586303883
good,3.0,0.0,23,0.0434782608695652,-0.0426307276289567,theta_down,-0.0495931951102537,0.1601419434387273,2.681368779842992e-07,-0.042630501917265556
good,3.0,0.0,24,0.0416666666666666,-0.0429204603877232,theta_up,-0.0495931951102537,0.1601419434387273,2.681368779842992e-07,-0.042920614133640074
intermediate,3.5,7.0,18,0.0555555555555555,-0.0593599479417562,theta_up,-0.0899689397769149,0.5257815664728032,0.0012217149113123,-0.060758852750648094
intermediate,3.5,7.0,19,0.0526315789473684,-0.0634604091175039,theta_up,-0.0899689397769149,0.5257815664728032,0.0012217149113123,-0.062296225752030546
intermediate,3.5,7.0,20,0.05,-0.0648988667649399,theta_up,-0.0899689397769149,0.5257815664728032,0.0012217149113123,-0.06367986145327474
intermediate,3.5,7.0,21,0.0476190476190476,-0.0634959959694541,theta_up,-0.0899689397769149,0.5257815664728032,0.0012217149113123,-0.06493172232582906
intermediate,3.5,7.0,22,0.0454545454545454,-0.0669463176910554,theta_up,-0.0899689397769149,0.5257815664728032,0.0012217149113123,-0.06606977766451479
intermediate,3.5,7.0,23,0.0434782608695652,-0.0680646321918453,u_D_down,-0.0899689397769149,0.5257815664728032,0.0012217149113123,-0.06710887166940173
intermediate,3.5,7.0,24,0.0416666666666666,-0.0666805164463598,u_D_down,-0.0899689397769149,0.5257815664728032,0.0012217149113123,-0.0680613745072148
"VP, C=0",3.5,10.0,18,0.0555555555555555,0.0198507321894803,u_D_down,0.0215886075188862,-0.0308287730058253,2.0482468456374615e-05,0.019875897907451465
"VP, C=0",3.5,10.0,19,0.0526315789473684,0.0199676215375986,u_D_down,0.0215886075188862,-0.0308287730058253,2.0482468456374615e-05,0.019966040518579607
"VP, C=0",3.5,10.0,20,0.05,0.0200598885071461,theta_up,0.0215886075188862,-0.0308287730058253,2.0482468456374615e-05,0.020047168868594936
"VP, C=0",3.5,10.0,21,0.0476190476190476,0.0201466360301845,theta_up,0.0215886075188862,-0.0308287730058253,2.0482468456374615e-05,0.020120570709084996
"VP, C=0",3.5,10.0,22,0.0454545454545454,0.020207884505962,theta_down,0.0215886075188862,-0.0308287730058253,2.0482468456374615e-05,0.02018729965498505
"VP, C=0",3.5,10.0,23,0.0434782608695652,0.0202443993420473,theta_up,0.0215886075188862,-0.0308287730058253,2.0482468456374615e-05,0.020248226083850317
"VP, C=0",3.5,10.0,24,0.0416666666666666,0.0202721169404384,theta_down,0.0215886075188862,-0.0308287730058253,2.0482468456374615e-05,0.020304075310310147
