n_k,inv_n_k,theta_index,u_index,theta_deg,u_D_meV,trial_interpolation,branch_label,source_branch,cG,clean,selection_kind,chern_hf_vpplus_band_0,vpplus_band0_chern_rounded,vp_plus_direct_gap,vp_minus_direct_gap,vp_plus_clean,vp_minus_clean,unstable_rank,cG_all_intercept,cG_all_slope,cG_all_rmse,n_C1,n_C0,fit_cG
18,0.0555555555555555,21,12,3.05,6.0,linear_interaction,lowest_energy_clean,u_D_down,-0.0161688475456859,True,clean,0.9999999999999996,1,4.635943875534132,4.635945064096219,True,True,1,0.0211349360797571,-0.347738250325229,0.0167984309751311,3,4,0.001816144395022156
19,0.0526315789473684,21,12,3.05,6.0,linear_interaction,lowest_energy_clean,theta_up,0.0184412701537412,True,clean,-2.208718528794109e-17,0,8.386842833371524,8.386842427845195,True,True,1,0.0211349360797571,-0.347738250325229,0.0167984309751311,3,4,0.002832922904745048
20,0.05,21,12,3.05,6.0,linear_interaction,lowest_energy_clean,u_D_down,0.0186872227617353,True,clean,-2.6504622345529306e-17,0,8.338603734423046,8.338603280937903,True,True,1,0.0211349360797571,-0.347738250325229,0.0167984309751311,3,4,0.0037480235634956525
21,0.0476190476190476,21,12,3.05,6.0,linear_interaction,lowest_energy_clean,u_D_down,-0.0161668260322738,True,clean,1.0000000000000004,1,4.006091959947078,4.006093852320902,True,True,1,0.0211349360797571,-0.347738250325229,0.0167984309751311,3,4,0.0045759717785557215
22,0.0454545454545454,21,12,3.05,6.0,linear_interaction,lowest_energy_clean,theta_up,0.0193521242531425,True,clean,-1.5902773407317583e-16,0,7.920461323740412,7.920460873377088,True,True,1,0.0211349360797571,-0.347738250325229,0.0167984309751311,3,4,0.005328651974064874
23,0.0434782608695652,21,12,3.05,6.0,linear_interaction,lowest_energy_clean,theta_up,0.0195420295818234,True,clean,-4.693526873687482e-17,0,7.887019747512369,7.887019251615989,True,True,1,0.0211349360797571,-0.347738250325229,0.0167984309751311,3,4,0.006015881717790623
24,0.0416666666666666,21,12,3.05,6.0,linear_interaction,lowest_energy_clean,theta_up,-0.0127235345226025,True,clean,1.0,1,3.4808539985457116,3.4808572698807367,True,True,1,0.0211349360797571,-0.347738250325229,0.0167984309751311,3,4,0.006645842316205892
18,0.0555555555555555,32,18,3.6,9.0,linear_interaction,lowest_energy_clean,u_D_down,-0.0162175781720324,True,clean,1.0000000000000002,1,5.148813550607656,5.148813666550012,True,True,2,0.0249732945847449,-0.4294327910799244,0.015850961791753,3,4,0.001115917302526876
19,0.0526315789473684,32,18,3.6,9.0,linear_interaction,lowest_energy_clean,theta_down,0.0167042394239345,True,clean,-2.03202104649058e-16,0,8.32586714773366,8.32586705634629,True,True,2,0.0249732945847449,-0.4294327910799244,0.015850961791753,3,4,0.00237156873843309
20,0.05,32,18,3.6,9.0,linear_interaction,lowest_energy_clean,u_D_down,0.0166219379503071,True,clean,1.8884543421189631e-16,0,8.294292165631902,8.294292063530307,True,True,2,0.0249732945847449,-0.4294327910799244,0.015850961791753,3,4,0.0035016550307486807
21,0.0476190476190476,32,18,3.6,9.0,linear_interaction,lowest_energy_clean,theta_up,-0.0128053189933851,True,clean,1.0000000000000002,1,4.4867648479542055,4.486765002161292,True,True,2,0.0249732945847449,-0.4294327910799244,0.015850961791753,3,4,0.004524114057129453
22,0.0454545454545454,32,18,3.6,9.0,linear_interaction,lowest_energy_clean,theta_up,0.0195418470463351,True,clean,-2.5400263081132254e-16,0,7.49606460602935,7.496064500250917,True,True,2,0.0249732945847449,-0.4294327910799244,0.015850961791753,3,4,0.005453622262930155
