u_D_meV,hf_band_chern,fixed_indirect_gap_meV,charge_gap_intrinsic_meV,charge_gap_raw_meV,source
0.0,1.0000000000000002,15.414100153878962,13.999490695463464,15.318050651760132,coarse 25-filling sweep
1.0,0.9999999999999996,15.672712395732308,14.259097107638809,15.577657063789957,coarse 25-filling sweep
2.0,1.0,16.441110010634148,15.030290406946731,16.348850363196107,coarse 25-filling sweep
3.0,1.0,17.701968314694547,16.295178433982073,17.61373839017324,coarse 25-filling sweep
4.0,1.000000000000001,16.22729520252744,14.773442622894436,16.092002579171094,coarse 25-filling sweep
5.0,1.0000000000000009,14.26798609770922,12.712081019508332,14.030640975717688,coarse 25-filling sweep
5.75,0.9999999999999994,3.899734451342411,-1.0419602656802454,0.2765996905800421,refined_three-filling smoke
6.0,-4.969616689786745e-17,8.968546930029376,7.155079632377237,8.473639588613878,coarse 25-filling sweep
7.0,-1.7669748230352868e-17,13.98676554767514,12.479475287354944,13.798035243416962,coarse 25-filling sweep
8.0,-1.2203169871587452e-16,17.274721678103333,15.838438140275684,17.15699809657235,coarse 25-filling sweep
9.0,-4.141347241488954e-17,19.866416198619767,18.46223387728423,19.78079383349541,coarse 25-filling sweep
10.0,4.417437057588219e-18,22.043919412811263,20.657926264992057,21.97648622126144,coarse 25-filling sweep
